checkpoint,trial_type,trial_id,selected_freqs,train_pre_loss,train_pre_acc,train_post_loss,train_post_acc,test_pre_loss,test_pre_acc,test_post_loss,test_post_acc,delta_train_loss,delta_train_acc,delta_test_loss,delta_test_acc
pre,random_k,43.0,"(40, 39, 41)",4.748631000518799,0.009921670891344547,4.748630046844482,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747032642364502,0.008390200324356556,-9.5367431640625e-07,0.0,-3.0994415283203125e-05,0.0
pre,random_k,44.0,"(55, 36, 38)",4.748631000518799,0.009921670891344547,4.7487382888793945,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747002124786377,0.008390200324356556,0.00010728836059570312,0.0,-6.151199340820312e-05,0.0
pre,random_k,45.0,"(52, 54, 35)",4.748631000518799,0.009921670891344547,4.748696327209473,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747010231018066,0.008390200324356556,6.532669067382812e-05,0.0,-5.340576171875e-05,0.0
pre,random_k,46.0,"(56, 13, 46)",4.748631000518799,0.009921670891344547,4.748597621917725,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747063159942627,0.008390200324356556,-3.337860107421875e-05,0.0,-4.76837158203125e-07,0.0
pre,random_k,47.0,"(45, 40, 36)",4.748631000518799,0.009921670891344547,4.748641490936279,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747025966644287,0.008390200324356556,1.049041748046875e-05,0.0,-3.7670135498046875e-05,0.0
pre,random_k,48.0,"(13, 41, 43)",4.748631000518799,0.009921670891344547,4.748708724975586,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747006416320801,0.008390200324356556,7.772445678710938e-05,0.0,-5.7220458984375e-05,0.0
pre,random_k,49.0,"(11, 28, 5)",4.748631000518799,0.009921670891344547,4.74856424331665,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747034549713135,0.008390200324356556,-6.67572021484375e-05,0.0,-2.9087066650390625e-05,0.0
pre,random_k,50.0,"(44, 20, 28)",4.748631000518799,0.009921670891344547,4.748692512512207,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747016906738281,0.008390200324356556,6.151199340820312e-05,0.0,-4.673004150390625e-05,0.0
pre,random_k,51.0,"(37, 55, 9)",4.748631000518799,0.009921670891344547,4.748698711395264,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747002124786377,0.008390200324356556,6.771087646484375e-05,0.0,-6.151199340820312e-05,0.0
pre,random_k,52.0,"(38, 40, 47)",4.748631000518799,0.009921670891344547,4.748740196228027,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747006893157959,0.008390200324356556,0.00010919570922851562,0.0,-5.6743621826171875e-05,0.0
